Age group,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 90
0 to 4,0.529288913,0.976502695,0.661260874,0.292391633,0.41056708,0.554563178,0.53988024,0.485754522,0.26098452,0.138510616,0.145311057,0.139114386,0.090538211,0.045974451,0.013892348,0.012527289
5 to 9,0.571141585,0.773627219,0.793862126,0.323820297,0.141937078,0.373722647,0.475783478,0.460045242,0.343406822,0.178577066,0.122735706,0.132749338,0.095979873,0.047402644,0.019006366,0.011221572
10 to 14,0.458418709,0.939139339,1.148996307,0.507290603,0.159919572,0.163809033,0.246876461,0.360231576,0.33611086,0.201008052,0.113298297,0.064167516,0.052721317,0.047744479,0.027589394,0.01022935
15 to 19,0.294004248,0.499903169,0.755502253,0.779087408,0.311055724,0.167726561,0.105725497,0.256510579,0.26566002,0.260635286,0.179239277,0.079523663,0.056551032,0.032626734,0.015321989,0.008032437
20 to 24,0.52011932,0.381723074,0.345760391,0.597044292,0.580158317,0.435802864,0.159693084,0.089966622,0.146464826,0.232144016,0.173808585,0.111681452,0.043274576,0.017663111,0.010103456,0.00695123
25 to 29,0.841655808,0.437220654,0.220154616,0.251783445,0.403016705,0.454447113,0.261982213,0.10065701,0.051248392,0.099953964,0.155475233,0.099034773,0.056381904,0.023128552,0.004331265,0.006879486
30 to 34,0.936542417,1.168185043,0.739641,0.180507014,0.245416027,0.422750227,0.314736273,0.263134397,0.134471414,0.079054949,0.091135478,0.1036443,0.083821046,0.024917238,0.012183538,0.006183377
35 to 39,0.793523003,1.12678315,0.904876685,0.379814202,0.110796542,0.1366873,0.200371308,0.287925061,0.15228907,0.071457373,0.064061032,0.050234115,0.067444317,0.03961127,0.015394819,0.005217977
40 to 44,0.640539708,1.0034482,0.934809501,0.518671356,0.188548809,0.122549534,0.175245075,0.209306584,0.173341348,0.125214845,0.068158031,0.029442216,0.074484923,0.051187455,0.017723137,0.009833942
45 to 49,0.371190283,0.697766395,0.734150212,0.575416416,0.2993499,0.157968998,0.095793397,0.155591971,0.123337205,0.147183827,0.12687423,0.060739928,0.045232882,0.028716434,0.017558667,0.01726734
50 to 54,0.445860332,0.447686635,0.562007258,0.379265994,0.281669774,0.208969591,0.132031942,0.08853079,0.089594937,0.113226031,0.110657912,0.107183864,0.047228479,0.022948923,0.018623396,0.017048821
55 to 59,0.904038602,1.03124619,0.594805273,0.457777233,0.317210465,0.382321583,0.338206654,0.16366329,0.103037095,0.204903006,0.202083279,0.119514728,0.12020364,0.073539942,0.019427573,0.026136787
60 to 64,0.580790595,0.666858789,0.427990288,0.276743517,0.146828192,0.162011724,0.182461352,0.172405735,0.111149179,0.075092088,0.108476485,0.104513143,0.061582033,0.058191708,0.019822129,0.004677847
65 to 69,0.46600921,0.757470872,0.637125114,0.23316182,0.165957644,0.155389787,0.224600953,0.273425177,0.203880055,0.104840666,0.133360294,0.118929615,0.088937211,0.061843477,0.039369179,0.010786598
70 to 74,0.198721294,0.655742442,0.54924355,0.324136124,0.055793338,0.130262383,0.089666662,0.182935369,0.163693548,0.159042123,0.145217832,0.088110535,0.098259944,0.06137425,0.03816691,0.034458307
75 to 90,0.274099618,0.39313431,0.553266064,0.371152489,0.077873312,0.076056111,0.086458135,0.183264293,0.166718143,0.168672642,0.192811929,0.122671792,0.049873633,0.074422663,0.039340152,0.026682198
