age,number
0,131956
1,133816
2,134853
3,137463
4,137704
5,136667
6,137293
7,136634
8,137130
9,134803
10,133857
11,133130
12,131847
13,129966
14,127907
15,126398
16,125279
17,123900
18,123128
19,122499
20,122294
21,120035
22,119299
23,118884
24,118800
25,118853
26,118629
27,118459
28,118987
29,120064
30,124272
31,122413
32,120603
33,120463
34,118064
35,114787
36,112273
37,109652
38,110461
39,106989
40,104532
41,101361
42,98009
43,95940
44,95855
45,95006
46,95891
47,95803
48,95112
49,94732
50,94499
51,91795
52,90779
53,85295
54,84589
55,84236
56,82819
57,83592
58,76500
59,67079
60,66251
61,64208
62,64942
63,64962
64,61331
65,60134
66,57616
67,54196
68,52466
69,48785
70,46010
71,42567
72,39413
73,36585
74,33253
75,28749
76,26999
77,25147
78,23572
79,22275
80,20786
81,18697
82,17195
83,15472
84,13769
85,11979
86,10318
87,8903
88,7568
89,6349
90,5341
91,4306
92,3405
93,2630
94,2017
95,1489
96,1078
97,783
98,523
99,354
100,574
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
